"filename", "language", "HTML", "JSON with Comments", "JSON", "JavaScript", "TypeScript", "PostCSS", "XML", "TypeScript JSX", "Markdown", "comment", "blank", "total"
"c:\Users\conta\Desktop\project\client\src\app\item\itemListSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -21, 0, 0, -4, -25
"c:\Users\conta\Desktop\project\client\src\app\item\itemPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -95, 0, 0, -10, -105
"c:\Users\conta\Desktop\project\client\src\app\item\itemPageTypes.ts", "TypeScript", 0, 0, 0, 0, -111, 0, 0, 0, 0, 0, -13, -124
"c:\Users\conta\Desktop\project\client\src\app\item\itemSection\buySection\buy.module.css", "PostCSS", 0, 0, 0, 0, 0, -114, 0, 0, 0, 0, -13, -127
"c:\Users\conta\Desktop\project\client\src\app\item\itemSection\buySection\buy2026.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -4, 0, 0, -1, -5
"c:\Users\conta\Desktop\project\client\src\app\item\itemSection\buySection\buySection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -152, 0, -1, -28, -181
"c:\Users\conta\Desktop\project\client\src\app\item\itemSection\categoryText.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -14, 0, 0, -2, -16
"c:\Users\conta\Desktop\project\client\src\app\item\itemSection\deliverySection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -63, 0, 0, -12, -75
"c:\Users\conta\Desktop\project\client\src\app\item\itemSection\detail.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -65, 0, 0, -8, -73
"c:\Users\conta\Desktop\project\client\src\app\item\itemSection\item.module.css", "PostCSS", 0, 0, 0, 0, 0, -163, 0, 0, 0, 0, -25, -188
"c:\Users\conta\Desktop\project\client\src\app\item\itemSection\itemHeader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -69, 0, 0, -6, -75
"c:\Users\conta\Desktop\project\client\src\app\item\itemSection\itemName.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -16, 0, 0, -2, -18
"c:\Users\conta\Desktop\project\client\src\app\item\itemSection\itemSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -31, 0, 0, -3, -34
"c:\Users\conta\Desktop\project\client\src\app\item\itemSection\price.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -19, 0, 0, -2, -21
"c:\Users\conta\Desktop\project\client\src\app\item\itemSection\slide.module.css", "PostCSS", 0, 0, 0, 0, 0, -70, 0, 0, 0, 0, -7, -77
"c:\Users\conta\Desktop\project\client\src\app\item\itemSection\slideshow.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -69, 0, 0, -6, -75
"c:\Users\conta\Desktop\project\client\src\app\item\itemSection\variants.module.css", "PostCSS", 0, 0, 0, 0, 0, -144, 0, 0, 0, -4, -16, -164
"c:\Users\conta\Desktop\project\client\src\app\item\itemSection\variantsList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -97, 0, 0, -10, -107
"c:\Users\conta\Desktop\project\client\src\app\item\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -4, 0, 0, -1, -5
"c:\Users\conta\Desktop\project\client\src\app\item\madmax\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -59, 0, 0, -13, -72
"c:\Users\conta\Desktop\project\client\src\app\item\madmax\admin.module.css", "PostCSS", 0, 0, 0, 0, 0, -108, 0, 0, 0, 0, -8, -116
"c:\Users\conta\Desktop\project\client\src\app\item\madmax\deleteButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -72, 0, 0, -15, -87
"c:\Users\conta\Desktop\project\client\src\app\item\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -27, 0, 0, -2, -29
"c:\Users\conta\Desktop\project\client\src\app\item\others\report.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -31, 0, 0, -4, -35
"c:\Users\conta\Desktop\project\client\src\app\item\portial.ts", "TypeScript", 0, 0, 0, 0, -9, 0, 0, 0, 0, 0, -2, -11
"c:\Users\conta\Desktop\project\client\src\app\item\sellerSection\deleteItem.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -57, 0, 0, -12, -69
"c:\Users\conta\Desktop\project\client\src\app\item\sellerSection\saleButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -243, 0, 0, -36, -279
"c:\Users\conta\Desktop\project\client\src\app\item\sellerSection\seller.module.css", "PostCSS", 0, 0, 0, 0, 0, -263, 0, 0, 0, 0, -29, -292
